console,genre,total_sales_mean,total_sales_median,total_sales_std,total_sales_count,na_sales_mean,jp_sales_mean,pal_sales_mean,other_sales_mean,critic_score_mean
2600,Action,0.484,0.4,0.248,30,0.452,0.0,0.028,0.004,7.5
2600,Puzzle,0.673,0.515,0.511,6,0.625,0.0,0.04,0.007,7.5
2600,Shooter,1.007,0.77,1.004,17,0.941,0.0,0.056,0.011,7.5
2600,Sports,0.263,0.21,0.198,7,0.249,0.0,0.014,0.003,7.5
3DS,Action,0.169,0.07,0.245,52,0.049,0.069,0.042,0.008,7.179
3DS,Action-Adventure,0.223,0.21,0.143,21,0.111,0.014,0.079,0.018,7.414
3DS,Adventure,0.135,0.11,0.125,22,0.042,0.057,0.029,0.007,7.409
3DS,Fighting,0.193,0.165,0.121,6,0.03,0.133,0.025,0.005,6.833
3DS,Misc,0.139,0.07,0.147,29,0.028,0.084,0.021,0.005,7.459
3DS,Music,0.24,0.19,0.124,5,0.032,0.188,0.016,0.004,7.5
3DS,Party,0.403,0.31,0.315,6,0.137,0.14,0.102,0.022,6.867
3DS,Platform,0.238,0.15,0.247,20,0.117,0.022,0.081,0.018,7.06
3DS,Puzzle,0.221,0.1,0.246,14,0.106,0.041,0.059,0.016,7.386
3DS,Racing,0.143,0.135,0.059,6,0.112,0.0,0.023,0.013,6.833
3DS,Role-Playing,0.261,0.125,0.346,44,0.044,0.187,0.023,0.007,7.557
3DS,Simulation,0.233,0.08,0.393,23,0.052,0.134,0.04,0.009,7.339
3DS,Sports,0.277,0.18,0.312,15,0.055,0.097,0.11,0.015,7.3
3DS,Strategy,0.115,0.07,0.117,11,0.028,0.075,0.007,0.004,7.191
DC,Fighting,0.158,0.12,0.12,6,0.0,0.158,0.0,0.0,8.15
DC,Sports,0.41,0.32,0.398,5,0.204,0.192,0.01,0.004,8.2
DS,Action,0.18,0.09,0.251,142,0.122,0.017,0.028,0.013,7.254
DS,Adventure,0.238,0.08,0.483,130,0.124,0.026,0.068,0.02,7.472
DS,Fighting,0.168,0.09,0.156,21,0.048,0.112,0.004,0.003,7.419
DS,Misc,0.193,0.09,0.304,201,0.108,0.038,0.034,0.013,7.498
DS,Platform,0.342,0.15,0.431,43,0.202,0.027,0.084,0.029,7.428
DS,Puzzle,0.169,0.09,0.287,107,0.097,0.015,0.044,0.012,7.506
DS,Racing,0.225,0.125,0.29,36,0.143,0.012,0.05,0.019,7.425
DS,Role-Playing,0.17,0.09,0.226,98,0.076,0.081,0.006,0.006,7.423
DS,Shooter,0.126,0.11,0.125,17,0.106,0.008,0.004,0.008,7.576
DS,Simulation,0.32,0.11,0.572,151,0.192,0.02,0.081,0.028,7.389
DS,Sports,0.147,0.1,0.159,69,0.076,0.037,0.024,0.009,7.374
DS,Strategy,0.208,0.09,0.312,39,0.124,0.039,0.031,0.015,7.323
GB,Role-Playing,0.58,0.54,0.197,5,0.0,0.58,0.0,0.0,7.4
GB,Sports,0.226,0.25,0.107,5,0.0,0.226,0.0,0.0,7.5
GBA,Action,0.259,0.145,0.33,80,0.179,0.005,0.069,0.005,7.099
GBA,Adventure,0.393,0.24,0.484,23,0.265,0.048,0.072,0.007,6.957
GBA,Fighting,0.249,0.15,0.348,8,0.171,0.01,0.062,0.004,6.375
GBA,Misc,0.298,0.21,0.312,58,0.196,0.023,0.073,0.004,7.228
GBA,Platform,0.4,0.21,0.492,60,0.225,0.061,0.102,0.011,7.372
GBA,Puzzle,0.288,0.065,0.62,28,0.18,0.038,0.063,0.006,7.254
GBA,Racing,0.198,0.105,0.267,32,0.139,0.005,0.052,0.003,7.244
GBA,Role-Playing,0.269,0.1,0.398,33,0.164,0.052,0.048,0.005,7.542
GBA,Shooter,0.097,0.06,0.108,18,0.061,0.013,0.023,0.001,7.078
GBA,Simulation,0.291,0.24,0.232,7,0.187,0.016,0.081,0.007,7.586
GBA,Sports,0.18,0.13,0.205,49,0.114,0.02,0.041,0.002,7.192
GBA,Strategy,0.346,0.23,0.339,11,0.15,0.136,0.055,0.006,7.818
GC,Action,0.188,0.115,0.188,46,0.144,0.0,0.038,0.004,6.759
GC,Adventure,0.268,0.25,0.166,17,0.197,0.013,0.05,0.007,7.147
GC,Fighting,0.201,0.15,0.143,16,0.098,0.073,0.026,0.004,7.294
GC,Misc,0.162,0.13,0.123,16,0.111,0.018,0.028,0.004,6.769
GC,Platform,0.248,0.19,0.23,25,0.191,0.002,0.05,0.007,7.024
GC,Puzzle,0.468,0.08,0.657,5,0.28,0.1,0.076,0.012,7.4
GC,Racing,0.197,0.09,0.285,39,0.137,0.006,0.048,0.004,7.146
GC,Role-Playing,0.197,0.145,0.163,12,0.128,0.032,0.033,0.004,7.475
GC,Shooter,0.195,0.11,0.219,27,0.151,0.0,0.039,0.004,6.781
GC,Simulation,0.272,0.195,0.272,6,0.193,0.023,0.05,0.007,7.5
GC,Sports,0.173,0.115,0.179,56,0.129,0.005,0.033,0.003,7.634
GC,Strategy,0.153,0.07,0.165,4,0.09,0.035,0.023,0.002,7.55
GEN,Action,1.36,1.41,1.266,3,0.943,0.07,0.307,0.043,7.5
GEN,Fighting,0.927,0.08,1.51,3,0.65,0.037,0.21,0.03,7.5
N64,Action,0.418,0.36,0.306,13,0.271,0.031,0.103,0.012,6.792
N64,Fighting,0.368,0.22,0.378,11,0.268,0.031,0.062,0.007,7.045
N64,Misc,0.418,0.21,0.581,5,0.336,0.018,0.056,0.008,7.08
N64,Platform,0.305,0.15,0.284,15,0.199,0.026,0.059,0.02,7.24
N64,Puzzle,0.335,0.205,0.369,6,0.188,0.078,0.057,0.01,7.2
N64,Racing,0.343,0.31,0.256,23,0.266,0.01,0.062,0.003,7.313
N64,Shooter,0.261,0.26,0.151,9,0.206,0.006,0.047,0.002,7.0
N64,Sports,0.288,0.225,0.219,44,0.185,0.048,0.047,0.007,7.543
N64,Strategy,0.175,0.18,0.083,4,0.103,0.05,0.022,0.0,7.575
NES,Platform,1.155,0.92,1.03,11,0.499,0.573,0.075,0.008,7.355
NES,Puzzle,0.75,0.9,0.461,6,0.228,0.46,0.052,0.01,7.5
NG,Fighting,0.136,0.12,0.091,7,0.0,0.136,0.0,0.0,7.5
NS,Action,0.149,0.065,0.182,28,0.08,0.015,0.042,0.012,7.779
NS,Action-Adventure,0.154,0.055,0.221,8,0.095,0.001,0.045,0.012,6.725
NS,Adventure,0.134,0.085,0.159,12,0.073,0.012,0.039,0.01,7.283
NS,Fighting,0.108,0.05,0.111,5,0.062,0.024,0.012,0.008,7.7
NS,Misc,0.042,0.025,0.043,6,0.025,0.012,0.002,0.003,7.5
NS,Music,0.21,0.03,0.367,4,0.085,0.002,0.108,0.015,7.5
NS,Platform,0.216,0.05,0.315,17,0.102,0.009,0.088,0.016,7.441
NS,Puzzle,0.213,0.095,0.327,6,0.083,0.058,0.058,0.013,7.483
NS,Racing,0.04,0.03,0.044,7,0.031,0.0,0.006,0.003,6.714
NS,Role-Playing,0.125,0.04,0.287,15,0.068,0.017,0.031,0.009,7.64
NS,Shooter,0.21,0.065,0.321,4,0.125,0.002,0.065,0.02,7.75
NS,Simulation,0.088,0.11,0.07,5,0.06,0.008,0.008,0.008,7.58
NS,Sports,0.087,0.08,0.08,3,0.043,0.003,0.033,0.007,7.5
NS,Strategy,0.104,0.04,0.109,5,0.05,0.018,0.03,0.008,8.1
NS,Visual Novel,0.013,0.01,0.006,3,0.0,0.013,0.0,0.0,7.5
PC,Action,0.121,0.03,0.206,42,0.058,0.0,0.053,0.009,7.443
PC,Adventure,0.053,0.025,0.136,44,0.006,0.0,0.042,0.004,7.489
PC,Fighting,0.044,0.02,0.051,5,0.016,0.0,0.026,0.004,7.82
PC,MMO,0.133,0.16,0.112,3,0.08,0.0,0.047,0.01,7.333
PC,Misc,0.183,0.035,0.525,20,0.104,0.0,0.068,0.01,7.51
PC,Platform,0.062,0.055,0.039,4,0.01,0.0,0.04,0.01,7.7
PC,Puzzle,0.021,0.01,0.022,16,0.002,0.0,0.016,0.002,7.55
PC,Racing,0.095,0.04,0.113,25,0.016,0.0,0.068,0.012,7.784
PC,Role-Playing,0.182,0.04,0.282,45,0.053,0.0,0.108,0.02,7.702
PC,Shooter,0.294,0.065,0.546,68,0.09,0.0,0.177,0.026,7.778
PC,Simulation,0.487,0.055,1.299,66,0.171,0.0,0.281,0.033,7.405
PC,Sports,0.116,0.02,0.258,31,0.006,0.0,0.1,0.011,7.69
PC,Strategy,0.12,0.02,0.287,87,0.052,0.0,0.061,0.006,7.445
PS,Action,0.547,0.24,0.761,62,0.28,0.006,0.226,0.033,7.166
PS,Adventure,0.361,0.17,0.695,29,0.147,0.065,0.129,0.021,7.276
PS,Fighting,0.674,0.24,1.032,62,0.331,0.114,0.195,0.035,7.46
PS,Misc,0.667,0.33,0.986,37,0.318,0.105,0.214,0.03,7.389
PS,Platform,0.53,0.285,0.71,38,0.288,0.027,0.184,0.03,7.453
PS,Puzzle,0.318,0.14,0.409,15,0.098,0.138,0.065,0.015,7.507
PS,Racing,0.554,0.265,0.786,74,0.309,0.038,0.176,0.03,7.354
PS,Role-Playing,0.442,0.335,0.399,40,0.12,0.218,0.076,0.028,7.605
PS,Shooter,0.369,0.14,0.538,52,0.197,0.025,0.125,0.021,7.402
PS,Simulation,0.335,0.26,0.369,29,0.086,0.168,0.059,0.022,7.479
PS,Sports,0.474,0.27,0.502,100,0.231,0.086,0.131,0.026,7.487
PS,Strategy,0.419,0.15,0.856,33,0.132,0.172,0.09,0.028,7.482
PS2,Action,0.621,0.28,1.497,149,0.287,0.053,0.19,0.091,7.426
PS2,Adventure,0.144,0.03,0.258,125,0.063,0.022,0.038,0.021,7.481
PS2,Fighting,0.453,0.16,0.815,63,0.211,0.063,0.129,0.05,7.552
PS2,Misc,0.382,0.21,0.607,103,0.161,0.032,0.106,0.082,7.501
PS2,Platform,0.428,0.28,0.448,53,0.229,0.013,0.132,0.054,7.1
PS2,Puzzle,0.414,0.12,0.67,9,0.211,0.05,0.109,0.048,7.667
PS2,Racing,0.568,0.26,0.729,105,0.287,0.01,0.178,0.095,7.495
PS2,Role-Playing,0.301,0.19,0.308,66,0.125,0.074,0.072,0.032,7.426
PS2,Shooter,0.669,0.23,1.019,77,0.359,0.017,0.209,0.084,7.484
PS2,Simulation,0.453,0.22,0.634,46,0.208,0.072,0.13,0.043,7.524
PS2,Sports,0.713,0.305,0.979,214,0.362,0.068,0.163,0.12,7.564
PS2,Strategy,0.203,0.11,0.206,42,0.045,0.11,0.035,0.011,7.431
PS3,Action,0.558,0.24,0.87,123,0.216,0.076,0.19,0.076,7.289
PS3,Action-Adventure,0.957,0.47,1.15,13,0.334,0.043,0.432,0.15,7.623
PS3,Adventure,0.331,0.13,0.467,37,0.135,0.033,0.117,0.046,7.273
PS3,Fighting,0.79,0.74,0.688,35,0.397,0.062,0.226,0.106,7.697
PS3,Misc,0.218,0.11,0.292,69,0.103,0.024,0.063,0.027,7.48
PS3,Music,0.215,0.205,0.141,4,0.12,0.0,0.06,0.035,7.25
PS3,Platform,0.729,0.58,0.797,16,0.318,0.008,0.295,0.108,7.319
PS3,Puzzle,0.36,0.29,0.262,4,0.202,0.065,0.055,0.038,7.55
PS3,Racing,0.39,0.22,0.422,48,0.137,0.011,0.181,0.06,7.504
PS3,Role-Playing,0.704,0.24,1.343,44,0.275,0.151,0.197,0.082,7.407
PS3,Shooter,0.969,0.64,1.256,77,0.406,0.04,0.378,0.147,7.321
PS3,Simulation,0.201,0.15,0.256,19,0.082,0.031,0.067,0.021,7.321
PS3,Sports,0.502,0.27,0.676,108,0.255,0.032,0.15,0.066,7.534
PS3,Strategy,0.233,0.13,0.251,15,0.099,0.055,0.054,0.027,7.573
PS3,Visual Novel,0.045,0.03,0.038,16,0.008,0.032,0.002,0.003,7.5
PS4,Action,0.372,0.15,0.626,77,0.123,0.038,0.155,0.055,7.453
PS4,Action-Adventure,0.955,0.225,2.562,30,0.322,0.036,0.447,0.15,7.507
PS4,Adventure,0.164,0.08,0.231,37,0.065,0.011,0.062,0.025,7.489
PS4,Fighting,0.245,0.12,0.32,20,0.098,0.036,0.076,0.034,7.5
PS4,MMO,0.494,0.17,0.733,7,0.2,0.021,0.194,0.079,7.5
PS4,Misc,0.279,0.06,0.532,19,0.072,0.02,0.147,0.041,7.5
PS4,Music,0.325,0.19,0.342,13,0.155,0.012,0.105,0.054,7.5
PS4,Platform,0.306,0.14,0.498,19,0.115,0.008,0.134,0.049,7.553
PS4,Puzzle,0.092,0.08,0.065,4,0.062,0.008,0.008,0.018,7.5
PS4,Racing,0.263,0.085,0.476,26,0.072,0.006,0.145,0.041,7.55
PS4,Role-Playing,0.316,0.09,0.795,69,0.111,0.076,0.089,0.041,7.597
PS4,Shooter,1.275,0.25,2.537,36,0.472,0.049,0.555,0.202,7.55
PS4,Simulation,0.183,0.07,0.324,23,0.067,0.003,0.083,0.03,7.478
PS4,Sports,1.229,0.75,1.718,39,0.564,0.03,0.432,0.203,7.608
PS4,Strategy,0.072,0.055,0.081,12,0.043,0.005,0.014,0.012,7.5
PS4,Visual Novel,0.021,0.01,0.022,7,0.009,0.011,0.0,0.001,7.5
PSP,Action,0.336,0.135,0.868,86,0.133,0.062,0.086,0.055,7.049
PSP,Adventure,0.1,0.02,0.226,115,0.03,0.03,0.026,0.015,7.335
PSP,Fighting,0.209,0.11,0.273,31,0.101,0.042,0.038,0.027,7.455
PSP,Misc,0.111,0.025,0.243,70,0.049,0.026,0.02,0.015,7.431
PSP,Platform,0.469,0.11,0.907,23,0.168,0.021,0.178,0.102,7.357
PSP,Puzzle,0.1,0.08,0.119,24,0.048,0.023,0.016,0.013,7.438
PSP,Racing,0.534,0.365,0.712,26,0.218,0.018,0.188,0.11,7.196
PSP,Role-Playing,0.149,0.1,0.177,82,0.048,0.082,0.009,0.01,7.341
PSP,Shooter,0.454,0.3,0.455,17,0.301,0.005,0.082,0.068,7.194
PSP,Simulation,0.214,0.09,0.342,22,0.061,0.03,0.078,0.045,7.077
PSP,Sports,0.36,0.23,0.382,66,0.163,0.046,0.102,0.049,7.38
PSP,Strategy,0.151,0.11,0.144,25,0.041,0.066,0.027,0.018,7.452
PSP,Visual Novel,0.029,0.02,0.015,31,0.0,0.029,0.0,0.0,7.5
PSV,Action,0.116,0.05,0.227,55,0.02,0.055,0.029,0.012,7.507
PSV,Action-Adventure,0.188,0.125,0.203,4,0.048,0.0,0.095,0.04,7.5
PSV,Adventure,0.053,0.02,0.169,80,0.011,0.026,0.01,0.006,7.5
PSV,Fighting,0.107,0.08,0.097,7,0.033,0.036,0.026,0.014,7.5
PSV,Misc,0.145,0.05,0.226,28,0.034,0.048,0.041,0.021,7.496
PSV,Music,0.099,0.065,0.106,8,0.016,0.071,0.006,0.008,7.5
PSV,Platform,0.433,0.32,0.495,7,0.106,0.009,0.23,0.089,7.5
PSV,Puzzle,0.122,0.115,0.093,4,0.05,0.005,0.045,0.025,7.5
PSV,Racing,0.354,0.26,0.362,7,0.11,0.014,0.16,0.07,7.486
PSV,Role-Playing,0.085,0.06,0.089,48,0.015,0.056,0.007,0.007,7.5
PSV,Shooter,0.543,0.375,0.625,6,0.23,0.06,0.143,0.108,6.783
PSV,Simulation,0.058,0.055,0.038,6,0.003,0.047,0.005,0.002,7.5
PSV,Sports,0.173,0.12,0.197,9,0.042,0.067,0.042,0.022,7.456
PSV,Strategy,0.02,0.02,0.008,4,0.002,0.012,0.002,0.0,7.5
PSV,Visual Novel,0.032,0.02,0.028,32,0.002,0.029,0.001,0.0,7.5
SAT,Adventure,0.151,0.11,0.151,14,0.0,0.151,0.0,0.0,7.5
SAT,Fighting,0.242,0.165,0.264,14,0.012,0.221,0.009,0.001,7.614
SAT,Misc,0.086,0.08,0.062,7,0.0,0.086,0.0,0.0,7.5
SAT,Platform,0.183,0.06,0.214,3,0.0,0.183,0.0,0.0,8.033
SAT,Puzzle,0.243,0.08,0.309,3,0.0,0.243,0.0,0.0,7.5
SAT,Racing,0.115,0.115,0.042,6,0.0,0.115,0.0,0.0,7.5
SAT,Role-Playing,0.251,0.275,0.113,10,0.0,0.251,0.0,0.0,7.78
SAT,Shooter,0.185,0.14,0.163,14,0.0,0.185,0.0,0.0,7.607
SAT,Simulation,0.176,0.08,0.145,5,0.0,0.176,0.0,0.0,7.5
SAT,Sports,0.23,0.235,0.049,6,0.0,0.23,0.0,0.0,7.5
SAT,Strategy,0.112,0.08,0.095,8,0.0,0.112,0.0,0.0,7.5
SNES,Adventure,0.23,0.16,0.223,3,0.0,0.23,0.0,0.0,7.5
SNES,Fighting,0.646,0.375,0.62,14,0.191,0.399,0.049,0.008,7.5
SNES,Misc,0.193,0.19,0.148,10,0.0,0.193,0.0,0.0,7.5
SNES,Platform,0.435,0.31,0.481,11,0.15,0.236,0.042,0.006,7.5
SNES,Puzzle,0.506,0.425,0.471,10,0.0,0.505,0.0,0.001,7.5
SNES,Racing,0.103,0.1,0.095,3,0.0,0.103,0.0,0.0,7.5
SNES,Role-Playing,0.274,0.295,0.209,16,0.0,0.274,0.0,0.0,7.5
SNES,Shooter,0.11,0.105,0.055,4,0.0,0.11,0.0,0.0,7.5
SNES,Simulation,0.413,0.27,0.443,3,0.0,0.413,0.0,0.0,7.5
SNES,Sports,0.358,0.285,0.336,24,0.05,0.3,0.007,0.002,7.5
SNES,Strategy,0.177,0.185,0.084,6,0.0,0.177,0.0,0.0,7.5
Wii,Action,0.432,0.23,0.719,91,0.26,0.01,0.123,0.038,7.192
Wii,Action-Adventure,0.15,0.175,0.091,4,0.053,0.0,0.085,0.01,7.5
Wii,Adventure,0.259,0.12,0.419,69,0.151,0.008,0.076,0.023,7.329
Wii,Fighting,0.319,0.19,0.324,27,0.178,0.027,0.087,0.027,7.119
Wii,Misc,0.41,0.22,0.58,143,0.257,0.016,0.103,0.035,7.477
Wii,Music,1.168,0.245,2.345,8,0.589,0.103,0.38,0.094,7.5
Wii,Platform,0.342,0.24,0.317,30,0.214,0.016,0.081,0.03,7.293
Wii,Puzzle,0.152,0.06,0.3,33,0.117,0.001,0.022,0.01,7.512
Wii,Racing,0.261,0.11,0.315,51,0.16,0.004,0.075,0.023,7.351
Wii,Role-Playing,0.312,0.25,0.244,13,0.185,0.051,0.055,0.024,7.192
Wii,Shooter,0.421,0.125,0.596,28,0.283,0.004,0.099,0.036,7.454
Wii,Simulation,0.302,0.14,0.423,51,0.209,0.008,0.058,0.025,7.345
Wii,Sports,0.311,0.195,0.357,142,0.207,0.009,0.069,0.025,7.407
Wii,Strategy,0.218,0.14,0.203,8,0.111,0.056,0.038,0.012,7.525
WiiU,Action,0.34,0.345,0.278,12,0.166,0.011,0.134,0.03,7.45
WiiU,Action-Adventure,0.31,0.23,0.286,11,0.155,0.007,0.12,0.025,7.355
WiiU,Adventure,0.1,0.07,0.098,3,0.06,0.0,0.03,0.01,7.5
WiiU,Misc,0.242,0.07,0.468,9,0.09,0.07,0.068,0.013,6.967
WiiU,Music,0.256,0.27,0.154,5,0.138,0.016,0.082,0.022,7.5
WiiU,Party,0.137,0.13,0.11,3,0.053,0.04,0.033,0.007,6.6
WiiU,Platform,0.252,0.1,0.248,9,0.124,0.016,0.089,0.021,7.444
WiiU,Puzzle,0.13,0.06,0.171,4,0.09,0.005,0.025,0.012,7.1
WiiU,Racing,0.273,0.28,0.26,3,0.107,0.007,0.14,0.02,7.8
WiiU,Shooter,0.172,0.12,0.115,5,0.096,0.008,0.054,0.016,7.98
WiiU,Sports,0.337,0.38,0.179,3,0.143,0.013,0.153,0.027,7.1
X360,Action,0.564,0.28,0.868,114,0.333,0.008,0.171,0.052,7.08
X360,Action-Adventure,0.827,0.6,0.891,16,0.454,0.002,0.298,0.074,7.612
X360,Adventure,0.402,0.125,0.729,38,0.224,0.004,0.135,0.037,7.397
X360,Fighting,0.655,0.45,0.69,32,0.43,0.013,0.155,0.057,7.384
X360,Misc,0.364,0.23,0.376,53,0.24,0.002,0.089,0.032,7.443
X360,Music,0.407,0.18,0.391,11,0.249,0.0,0.117,0.042,7.582
X360,Platform,0.612,0.375,0.74,18,0.334,0.001,0.215,0.059,7.306
X360,Puzzle,0.188,0.2,0.129,4,0.13,0.008,0.04,0.012,5.725
X360,Racing,0.66,0.25,0.998,62,0.32,0.007,0.269,0.065,7.474
X360,Role-Playing,0.465,0.31,0.439,32,0.278,0.03,0.119,0.039,7.347
X360,Shooter,1.237,0.35,2.673,107,0.761,0.014,0.352,0.11,7.292
X360,Simulation,0.268,0.22,0.151,13,0.17,0.009,0.065,0.023,6.685
X360,Sports,0.54,0.32,0.638,118,0.358,0.001,0.137,0.044,7.544
X360,Strategy,0.194,0.22,0.117,11,0.133,0.005,0.038,0.015,7.191
X360,Visual Novel,0.015,0.015,0.005,6,0.0,0.015,0.0,0.0,7.5
XB,Action,0.264,0.13,0.431,77,0.181,0.002,0.072,0.009,7.577
XB,Adventure,0.187,0.105,0.227,18,0.132,0.0,0.048,0.006,7.55
XB,Fighting,0.265,0.15,0.245,21,0.194,0.006,0.056,0.009,7.562
XB,Misc,0.23,0.14,0.264,20,0.173,0.0,0.048,0.008,7.5
XB,Platform,0.116,0.07,0.142,13,0.085,0.0,0.028,0.002,7.046
XB,Racing,0.218,0.08,0.411,63,0.142,0.0,0.067,0.007,7.51
XB,Role-Playing,0.322,0.19,0.342,9,0.236,0.0,0.074,0.012,7.756
XB,Shooter,0.353,0.17,0.4,64,0.252,0.001,0.086,0.013,7.534
XB,Simulation,0.268,0.115,0.32,12,0.214,0.002,0.043,0.008,7.475
XB,Sports,0.373,0.26,0.381,89,0.283,0.0,0.075,0.014,7.544
XB,Strategy,0.184,0.135,0.197,12,0.136,0.0,0.04,0.006,7.333
XOne,Action,0.378,0.1,0.673,50,0.238,0.0,0.105,0.035,7.532
XOne,Action-Adventure,0.864,0.43,1.401,16,0.525,0.001,0.261,0.078,7.456
XOne,Adventure,0.146,0.05,0.226,14,0.089,0.0,0.045,0.013,7.5
XOne,Fighting,0.268,0.14,0.266,9,0.192,0.001,0.05,0.026,7.5
XOne,Misc,0.144,0.08,0.115,7,0.107,0.0,0.024,0.016,7.5
XOne,Music,0.435,0.455,0.274,8,0.306,0.0,0.085,0.042,7.762
XOne,Platform,0.181,0.16,0.15,10,0.115,0.0,0.05,0.017,7.4
XOne,Puzzle,0.08,0.05,0.07,3,0.06,0.0,0.013,0.01,7.5
XOne,Racing,0.364,0.095,0.595,28,0.182,0.001,0.151,0.031,7.671
XOne,Role-Playing,0.62,0.06,1.246,17,0.38,0.001,0.182,0.056,7.476
XOne,Shooter,1.359,0.7,1.645,37,0.85,0.003,0.382,0.125,7.662
XOne,Simulation,0.154,0.06,0.218,11,0.095,0.0,0.043,0.015,7.5
XOne,Sports,0.711,0.215,0.981,34,0.416,0.0,0.23,0.064,7.662
XOne,Strategy,0.026,0.02,0.019,5,0.026,0.0,0.0,0.002,7.5
